Individual Components:,,,,,
,,,,,
Item,Qty,Reference(s),Value,Footprint,Datasheet
10,1,D1,SR540,Diode_SMD:D_SMA,~
11,1,D2,1N4004,Diode_SMD:D_SMA,http://www.vishay.com/docs/88503/1n4001.pdf
12,1,D3,PWR,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
13,1,D4,STBY,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
14,1,D5,CHRG,LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
15,1,J1,SD_Card,Livrary:TF_SDCard,https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1
16,1,J2,CTRL,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,~
17,1,J3,I2C,Connector_JST:JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,~
18,1,J5,CHG+,Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat,~
19,1,J7,CHG-,Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat,~
20,1,J8,POWER,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,~
21,1,J9,SPK,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,~
22,1,J10,GPIO,Connector_JST:JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,~
23,1,J11,DAC,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,~
24,1,J12,I2C,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,~
25,1,J13,BAT,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,~
26,1,J14,USB_B_Micro,Livrary:USB_Micro-B,~
27,1,JP1,Jumper_2_Open,Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,~
28,1,JP3,DAC A0,Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,~
29,1,JP4,SEL,Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,~
30,1,L1,3u3,Inductor_SMD:L_10.4x10.4_H4.8,~
